level,cell_id,x,y,cell_type,tissue,is_baseline
raw,45179099,-26.142546,-33.120995,mononuclear phagocyte,ovary,True
raw,45197538,37.749645,33.663704,T cell,ovary,True
raw,45174471,5.2412887,-35.418354,endothelial cell,colorectum,True
raw,45420718,-19.780367,19.735111,fibroblast,colorectum,False
raw,45182769,44.350983,-19.638838,epithelial cell,ovary,False
raw,45179066,16.346785,-5.6011605,mononuclear phagocyte,ovary,True
raw,45430415,28.04946,36.37481,B cell,colorectum,False
raw,45428785,-34.895885,0.6245438,endothelial cell,colorectum,False
raw,45188169,12.256823,-21.8137,endothelial cell,ovary,False
raw,45433595,-53.384495,-7.6016693,endothelial cell,colorectum,False
raw,45179965,30.582933,12.4685545,T cell,ovary,True
raw,45174935,-55.32553,-28.363575,mast cell,colorectum,False
raw,45424303,-78.8706,31.32989,epithelial cell,colorectum,True
raw,45194183,65.23509,-13.265374,fibroblast,ovary,False
raw,45432249,8.590035,-39.16222,fibroblast,colorectum,False
raw,45186566,23.39076,-18.154175,epithelial cell,ovary,False
raw,45428563,32.80918,-37.118305,epithelial cell,colorectum,False
raw,45175466,-77.41466,22.156088,endothelial cell,colorectum,False
raw,45427382,56.52256,44.596096,mononuclear phagocyte,colorectum,True
raw,45187717,-30.259417,-24.967728,epithelial cell,ovary,False
raw,45426882,-17.881214,-2.5295196,mononuclear phagocyte,colorectum,True
raw,45431921,-34.361633,0.51971775,T cell,colorectum,True
raw,45428998,-27.72643,4.479239,fibroblast,colorectum,False
raw,45426075,11.950188,-24.1832,mononuclear phagocyte,colorectum,True
raw,45174385,-8.471647,-75.35692,fibroblast,colorectum,True
raw,45189585,-16.564213,35.779972,endothelial cell,ovary,False
raw,45424471,-3.0785573,-73.47848,epithelial cell,colorectum,False
raw,45434166,-62.610348,59.459385,T cell,colorectum,False
raw,45182088,-13.9950285,-12.109574,T cell,ovary,True
raw,45174877,30.264957,25.72593,fibroblast,colorectum,False
raw,45424027,14.704626,-39.34594,mononuclear phagocyte,colorectum,True
raw,45303242,-2.2179387,38.483105,neutrophil,breast,False
raw,45423772,24.203804,31.934212,epithelial cell,colorectum,True
raw,45195002,11.508513,-17.02311,epithelial cell,ovary,True
raw,45180232,-11.06209,-13.776081,epithelial cell,ovary,True
raw,45429794,74.3523,-12.815526,mononuclear phagocyte,colorectum,False
raw,45430310,-11.49883,16.765186,fibroblast,colorectum,False
raw,45175121,50.22519,-64.25631,endothelial cell,colorectum,False
raw,45422047,-14.866292,15.287105,fibroblast,colorectum,False
raw,45422239,-71.548965,-1.7408084,B cell,colorectum,False
raw,45423713,21.433622,45.879814,epithelial cell,colorectum,True
raw,45427228,-63.5166,1.1110139,endothelial cell,colorectum,True
raw,45190895,19.02697,-39.544846,mononuclear phagocyte,ovary,False
raw,45424124,-42.32905,3.0509803,epithelial cell,colorectum,True
raw,45433747,-75.50768,-1.5001698,T cell,colorectum,False
raw,45394979,-9.558743,53.04114,neutrophil,lung,False
raw,45431091,30.888157,-39.22442,B cell,colorectum,True
raw,45433513,-25.583218,20.225733,T cell,colorectum,False
raw,45426002,57.680782,-50.67372,T cell,colorectum,False
raw,45421818,10.549438,4.6696935,mononuclear phagocyte,colorectum,False
raw,45196102,-34.72258,-48.77288,epithelial cell,ovary,True
raw,45283488,-74.92888,9.242493,neutrophil,lung,False
raw,45174582,7.699666,-48.18703,fibroblast,colorectum,True
raw,45181925,2.9565296,3.8568742,T cell,ovary,True
raw,45195540,-13.558939,-21.316442,mononuclear phagocyte,ovary,True
raw,45177630,31.390646,5.636451,fibroblast,colorectum,True
raw,45431316,-36.002335,-0.14434749,epithelial cell,colorectum,True
raw,45182169,18.075071,-22.821243,mononuclear phagocyte,ovary,True
raw,45426550,59.4914,-57.124416,fibroblast,colorectum,True
raw,45421476,-46.638454,1.0148622,B cell,colorectum,False
raw,45426486,-6.334589,-82.42813,mononuclear phagocyte,colorectum,True
raw,45180600,10.943831,20.837965,endothelial cell,ovary,True
raw,45431461,61.14351,3.3621,epithelial cell,colorectum,True
raw,45180108,-9.348547,-25.82718,fibroblast,ovary,True
raw,45428546,59.611774,-29.92471,T cell,colorectum,False
raw,45429818,-57.632412,-25.58843,fibroblast,colorectum,False
raw,45191418,60.184723,39.595253,T cell,ovary,False
raw,45188122,23.363398,-63.85458,endothelial cell,ovary,False
raw,45400323,-20.056974,71.35399,neutrophil,lung,False
raw,45198072,41.727753,-2.5697908,epithelial cell,ovary,True
raw,45422408,40.770443,60.509434,epithelial cell,colorectum,False
raw,45423622,31.372633,-84.641716,fibroblast,colorectum,True
raw,45262471,-31.229427,37.399513,neutrophil,breast,True
raw,45194219,-40.14539,-42.8207,endothelial cell,ovary,False
raw,45307848,-6.7399225,35.939316,neutrophil,breast,True
raw,45182798,-3.8663387,-28.75622,fibroblast,ovary,False
raw,45174915,14.386025,9.766128,mast cell,colorectum,False
raw,45428703,-25.225132,3.5718746,mononuclear phagocyte,colorectum,False
raw,45395934,-41.7531,66.84908,neutrophil,lung,False
raw,45179497,30.62765,-62.391895,epithelial cell,ovary,True
raw,45423111,20.773571,17.112675,epithelial cell,colorectum,True
raw,45422679,13.003217,-22.363909,T cell,colorectum,False
raw,45423193,25.688496,56.90145,epithelial cell,colorectum,True
raw,45177600,44.027367,9.119883,fibroblast,colorectum,True
raw,45183501,29.34628,-2.7618966,epithelial cell,ovary,False
raw,45420240,-68.562836,-32.05008,endothelial cell,colorectum,False
raw,45431456,22.826492,-9.354139,B cell,colorectum,True
raw,45430046,31.842909,51.00709,mononuclear phagocyte,colorectum,False
raw,45178036,35.670025,-20.592299,B cell,colorectum,True
raw,45421883,16.481373,60.03167,T cell,colorectum,False
raw,45420968,-60.442593,6.817388,mast cell,colorectum,False
raw,45194969,-29.917225,-45.307552,T cell,ovary,True
raw,45197707,34.77136,47.936817,epithelial cell,ovary,True
raw,45427598,-14.572927,9.70142,mononuclear phagocyte,colorectum,False
raw,45184374,49.510696,-3.8961468,epithelial cell,ovary,False
raw,45177376,22.793919,-41.58801,T cell,colorectum,True
raw,45181610,61.7502,0.923249,mononuclear phagocyte,ovary,True
raw,45384106,-6.8620224,52.756382,neutrophil,lung,False
raw,45424534,40.446987,-36.667667,epithelial cell,colorectum,False
raw,45181668,23.588388,-18.857985,T cell,ovary,True
raw,45429968,-8.27777,18.949984,mast cell,colorectum,False
raw,45422685,9.3977375,26.665508,endothelial cell,colorectum,False
raw,45434567,-54.7805,53.477997,T cell,colorectum,False
raw,45189464,8.65597,-67.785034,fibroblast,ovary,False
raw,45432988,-24.110312,16.05381,mononuclear phagocyte,colorectum,False
raw,45431035,48.116993,46.94709,epithelial cell,colorectum,True
raw,45182257,27.269121,-23.731646,mononuclear phagocyte,ovary,True
raw,45392684,-30.860504,30.901667,neutrophil,lung,False
raw,45437281,-1.6875635,71.494934,neutrophil,lung,True
raw,45308318,-12.053235,42.279392,neutrophil,breast,False
raw,45423596,-30.682787,-9.469224,mononuclear phagocyte,colorectum,True
raw,45431453,31.2948,54.75386,T cell,colorectum,True
raw,45178346,9.641535,10.709821,fibroblast,ovary,True
raw,45424087,52.520363,12.426518,T cell,colorectum,True
raw,45434655,-6.387666,61.741676,T cell,colorectum,False
raw,45420085,49.62177,55.20017,B cell,colorectum,False
raw,45178343,20.02731,-45.639065,mononuclear phagocyte,ovary,True
raw,45442569,-59.658607,72.11293,neutrophil,lung,True
raw,45174632,2.8975725,-86.04173,mononuclear phagocyte,colorectum,True
raw,45177162,37.96419,-21.832623,fibroblast,colorectum,False
raw,45387663,-19.982302,56.561985,neutrophil,lung,False
raw,45176036,-11.305589,-77.13351,endothelial cell,colorectum,True
raw,45428334,22.977934,7.9716578,epithelial cell,colorectum,False
raw,45431152,-19.590557,37.35194,B cell,colorectum,True
raw,45422081,35.607082,-43.201187,B cell,colorectum,False
raw,45433440,2.016938,-48.823734,T cell,colorectum,False
raw,45433289,-13.197157,-37.371536,fibroblast,colorectum,False
raw,45425480,24.343037,-2.6661694,mononuclear phagocyte,colorectum,False
raw,45447222,-14.116868,52.27926,neutrophil,lung,True
raw,45420588,5.354698,-70.67927,mononuclear phagocyte,colorectum,False
raw,45421593,-59.125893,14.744174,B cell,colorectum,False
raw,45177752,13.562782,-85.97872,B cell,colorectum,True
raw,45196826,-27.265583,-48.590946,epithelial cell,ovary,True
raw,45397008,-20.89679,71.648544,neutrophil,lung,False
raw,45177247,32.988556,10.104253,T cell,colorectum,False
raw,45431737,11.645086,-37.11838,T cell,colorectum,True
raw,45431957,7.032064,-34.827965,epithelial cell,colorectum,True
raw,45308368,-5.4761853,38.795403,neutrophil,breast,False
raw,45179403,43.30407,4.9754176,fibroblast,ovary,True
raw,45424999,-63.813717,8.915754,epithelial cell,colorectum,False
raw,45442151,-60.667637,66.80478,neutrophil,lung,True
raw,45423656,34.04056,55.687508,endothelial cell,colorectum,True
raw,45187886,8.916609,-73.59053,epithelial cell,ovary,False
raw,45420997,-24.674341,17.04706,endothelial cell,colorectum,False
raw,45178298,-16.689562,-13.957541,mononuclear phagocyte,ovary,True
raw,45420626,-46.25408,-5.4955792,B cell,colorectum,False
raw,45425136,-39.662827,-70.06126,epithelial cell,colorectum,False
raw,45431405,-54.02615,12.413852,epithelial cell,colorectum,True
raw,45422631,-34.92185,35.15487,T cell,colorectum,False
raw,45198331,-29.315737,-25.59166,T cell,ovary,True
raw,45431553,64.252686,-2.7645714,epithelial cell,colorectum,True
raw,45181812,20.98657,-37.42221,mononuclear phagocyte,ovary,True
raw,45444568,-61.75383,60.77084,neutrophil,lung,True
raw,45427488,-31.809729,-1.6709477,fibroblast,colorectum,True
raw,45420266,-4.7377305,24.553448,fibroblast,colorectum,False
raw,45185272,31.710527,-21.518642,epithelial cell,ovary,False
raw,45444320,-18.46399,66.321945,neutrophil,lung,True
raw,45395542,-33.300194,31.529835,neutrophil,lung,False
raw,45175316,5.1909385,-32.27266,mast cell,colorectum,False
raw,45181020,9.665458,-68.24532,fibroblast,ovary,True
raw,45427195,-45.09825,14.302988,endothelial cell,colorectum,True
raw,45434364,-44.648415,70.79397,mast cell,colorectum,False
raw,45426127,15.200174,-39.274647,fibroblast,colorectum,True
raw,45424341,-62.1786,10.207913,mononuclear phagocyte,colorectum,False
raw,45225182,40.619118,6.9686155,neutrophil,lung,True
raw,45431508,14.043863,-39.385822,epithelial cell,colorectum,True
raw,45197565,30.030453,-3.8456745,T cell,ovary,True
raw,45430893,25.603745,51.761127,T cell,colorectum,False
raw,45435579,-8.44421,61.532223,neutrophil,lung,True
raw,45435259,-56.87213,53.419712,neutrophil,lung,True
raw,45180781,9.331,14.1665745,mononuclear phagocyte,ovary,True
raw,45178701,54.59285,1.2688093,fibroblast,ovary,True
raw,45181012,24.0257,35.689663,endothelial cell,ovary,True
raw,45420540,-64.73729,7.742681,fibroblast,colorectum,False
raw,45182217,32.76889,-7.0570335,T cell,ovary,True
raw,45441514,-60.554756,55.89837,neutrophil,lung,True
raw,45194996,-41.428516,-44.086346,endothelial cell,ovary,True
raw,45419944,1.049177,-75.027084,T cell,colorectum,False
raw,45181859,29.476456,16.745132,fibroblast,ovary,True
raw,45181055,2.167664,-88.09619,fibroblast,ovary,True
raw,45430985,-79.84911,-2.9241416,T cell,colorectum,False
raw,45427161,53.46271,54.28679,endothelial cell,colorectum,True
raw,45174424,-6.372512,-78.47479,endothelial cell,colorectum,True
raw,45428042,-33.758945,5.3631268,mononuclear phagocyte,colorectum,False
raw,45177648,30.836514,2.2908309,fibroblast,colorectum,True
raw,45382850,-7.1059566,59.422047,neutrophil,lung,False
raw,45436656,-13.248415,57.0186,neutrophil,lung,True
raw,45432449,-10.384734,-78.25483,epithelial cell,colorectum,False
raw,45434609,-53.190804,62.78673,B cell,colorectum,False
raw,45422924,57.84535,-57.307243,endothelial cell,colorectum,False
raw,45176474,4.0203114,-34.507973,endothelial cell,colorectum,True
raw,45430048,43.56625,37.043324,fibroblast,colorectum,False
raw,45180413,10.191865,26.189272,mononuclear phagocyte,ovary,True
raw,45178197,32.979538,-63.120434,mononuclear phagocyte,ovary,True
raw,45182158,24.932505,45.96985,endothelial cell,ovary,True
raw,45183251,34.66483,-9.119,epithelial cell,ovary,False
raw,45426710,59.927277,45.99046,mononuclear phagocyte,colorectum,True
raw,45422328,61.708843,-47.911407,T cell,colorectum,False
raw,45442429,-50.392757,66.665985,neutrophil,lung,True
raw,45424280,18.701443,4.5839925,B cell,colorectum,True
raw,45187738,-0.038925793,17.00724,epithelial cell,ovary,False
raw,45426917,29.220074,18.320087,mononuclear phagocyte,colorectum,True
raw,45434711,-56.85449,59.009666,fibroblast,colorectum,True
raw,45420261,-22.544802,21.238188,B cell,colorectum,False
raw,45426878,-53.34005,-11.9775915,T cell,colorectum,True
raw,45187088,31.627134,-85.65774,epithelial cell,ovary,False
raw,45432285,6.6369114,13.895918,epithelial cell,colorectum,False
raw,45422162,-65.32669,-35.215786,endothelial cell,colorectum,False
raw,45190191,-18.497913,-19.038269,endothelial cell,ovary,False
raw,45420522,-3.1609433,4.8357816,B cell,colorectum,False
raw,45445051,-46.83046,67.10251,neutrophil,lung,True
raw,45389713,-58.43968,13.168349,neutrophil,lung,False
raw,45283443,-31.381994,45.716957,neutrophil,lung,False
raw,45421092,-49.753834,-9.801627,T cell,colorectum,False
raw,45427186,25.779116,32.957363,fibroblast,colorectum,True
raw,45432595,9.477465,0.84747094,fibroblast,colorectum,False
raw,45426283,22.896088,3.7556782,mononuclear phagocyte,colorectum,True
raw,45307876,-5.1673226,39.8255,neutrophil,breast,True
raw,45181530,51.13098,3.9242866,endothelial cell,ovary,True
raw,45190392,45.690384,-16.198366,epithelial cell,ovary,False
raw,45423269,16.261066,-4.851973,mononuclear phagocyte,colorectum,True
raw,45182026,44.481266,-4.559771,T cell,ovary,True
raw,45435098,-23.079248,57.492043,neutrophil,lung,True
raw,45178587,48.163242,-17.560087,epithelial cell,ovary,True
raw,45430037,32.821728,32.31553,fibroblast,colorectum,False
raw,45423399,-51.056866,-5.552753,fibroblast,colorectum,True
raw,45179025,52.470016,33.827324,fibroblast,ovary,True
raw,45446678,-18.468454,50.89156,neutrophil,lung,True
raw,45426691,38.341576,46.16641,mononuclear phagocyte,colorectum,True
raw,45422122,-34.224495,-18.283321,mononuclear phagocyte,colorectum,False
raw,45178649,51.61885,27.238783,epithelial cell,ovary,True
raw,45183440,47.51662,-13.348199,endothelial cell,ovary,False
raw,45283152,-12.147509,40.631363,neutrophil,lung,False
raw,45174475,-12.951527,-74.41399,fibroblast,colorectum,True
raw,45426841,-59.094513,-0.91249645,mononuclear phagocyte,colorectum,True
raw,45394864,-34.54185,38.464394,neutrophil,lung,False
raw,45178697,29.075834,-0.9753426,mononuclear phagocyte,ovary,True
raw,45431480,-78.41022,32.921364,T cell,colorectum,True
raw,45422566,41.980717,-59.745934,T cell,colorectum,False
raw,45436635,-8.11157,63.933125,neutrophil,lung,True
raw,45194940,-33.778194,-47.16433,endothelial cell,ovary,True
raw,45177268,43.84292,-16.229097,mast cell,colorectum,False
raw,45175376,-46.831707,-67.04283,endothelial cell,colorectum,False
raw,45177615,37.468937,-20.275091,epithelial cell,colorectum,True
raw,45181401,14.245532,-70.77511,epithelial cell,ovary,True
raw,45445874,-44.489384,70.22602,neutrophil,lung,True
raw,45427836,24.509346,12.265652,mononuclear phagocyte,colorectum,False
raw,45175033,-53.92453,-29.08355,mast cell,colorectum,False
raw,45188546,-23.061756,-51.13291,endothelial cell,ovary,False
raw,45195945,-33.158104,-41.96178,mononuclear phagocyte,ovary,True
raw,45426613,-30.501347,-1.3003734,mononuclear phagocyte,colorectum,True
raw,45176242,-13.577989,-78.23251,endothelial cell,colorectum,True
raw,45431868,-3.9904864,-28.506084,B cell,colorectum,True
raw,45427274,-36.219563,-10.308139,fibroblast,colorectum,True
raw,45179081,38.629936,-22.382027,mononuclear phagocyte,ovary,True
raw,45424307,52.53608,42.103188,fibroblast,colorectum,True
raw,45424452,-33.654488,-1.8930383,mononuclear phagocyte,colorectum,False
raw,45399121,-30.869429,40.993023,neutrophil,lung,False
raw,45180664,-16.761057,-20.268745,fibroblast,ovary,True
raw,45174666,13.970055,-53.25542,fibroblast,colorectum,True
raw,45279087,-23.597805,58.85933,neutrophil,lung,False
raw,45188878,-23.463913,-49.83919,endothelial cell,ovary,False
raw,45438057,-60.979275,64.00312,neutrophil,lung,True
raw,45428168,-36.00515,-10.078462,mononuclear phagocyte,colorectum,False
raw,45181700,57.774193,0.071957536,mononuclear phagocyte,ovary,True
raw,45423116,48.166885,11.664402,mononuclear phagocyte,colorectum,True
raw,45437590,-52.150032,55.023914,neutrophil,lung,True
raw,45399199,-16.600729,71.76596,neutrophil,lung,False
raw,45176216,-35.64129,24.133507,endothelial cell,colorectum,True
raw,45174798,-42.74723,-68.15857,B cell,colorectum,True
raw,45437535,-6.5444555,63.69951,neutrophil,lung,True
raw,45444439,-57.112392,63.586086,neutrophil,lung,True
raw,45180155,30.934048,-20.24983,epithelial cell,ovary,True
raw,45422734,47.475033,38.725353,B cell,colorectum,False
raw,45447423,-16.814335,48.87025,neutrophil,lung,True
raw,45181739,-19.122393,-15.561067,epithelial cell,ovary,True
raw,45175013,13.3322935,-72.11013,mast cell,colorectum,False
raw,45426009,12.143465,-23.992716,epithelial cell,colorectum,False
raw,45440145,-44.960552,76.05553,neutrophil,lung,True
raw,45431593,11.490011,6.622622,T cell,colorectum,True
raw,45174476,28.141312,-86.5051,epithelial cell,colorectum,True
raw,45422007,23.460688,48.729446,B cell,colorectum,False
raw,45419866,-48.8788,4.224379,epithelial cell,colorectum,False
raw,45427802,-44.785027,2.982152,mononuclear phagocyte,colorectum,False
raw,45187412,0.19801134,-30.674019,endothelial cell,ovary,False
raw,45183452,-6.5461893,-23.995497,mononuclear phagocyte,ovary,False
raw,45444327,-50.03378,67.89752,neutrophil,lung,True
raw,45420643,32.798084,45.89902,B cell,colorectum,False
raw,45175403,-42.28184,-69.62865,fibroblast,colorectum,False
raw,45181834,59.581444,-4.019398,endothelial cell,ovary,True
raw,45175947,-13.246963,-35.13238,endothelial cell,colorectum,True
raw,45382937,-27.24648,23.199224,neutrophil,lung,False
raw,45183107,53.47049,-22.495852,epithelial cell,ovary,False
raw,45181848,26.660374,-15.636207,T cell,ovary,True
raw,45435564,-52.046745,53.1878,neutrophil,lung,True
raw,45186240,22.591032,-38.809593,epithelial cell,ovary,False
raw,45428213,3.986557,-73.08904,mononuclear phagocyte,colorectum,False
raw,45180381,-41.40709,30.249596,T cell,ovary,True
raw,45177533,48.879734,-16.82602,T cell,colorectum,True
raw,45431258,22.387169,-28.804468,epithelial cell,colorectum,True
raw,45432361,14.284653,56.27095,fibroblast,colorectum,False
raw,45192305,-10.068636,26.614376,mononuclear phagocyte,ovary,False
raw,45447120,-57.522026,-25.695408,neutrophil,lung,True
raw,45307859,-7.854289,38.796486,neutrophil,breast,True
raw,45432128,42.65385,49.367043,fibroblast,colorectum,False
raw,45188668,34.3332,11.604292,endothelial cell,ovary,False
