ec_number,n_proteins,tool,recall
4.1.1,3,enzbert-learnt,0.0000
4.1.1,3,proteinbert-regular,0.0000
4.1.1,3,proteinbert-learnt,0.0000
4.1.1,3,stacked,0.3333
4.1.1,3,majority-voting-regular,0.0000
4.1.1,3,majority-voting-learnt,0.0000
4.1.1,3,species,0.0000
4.2.1,3,CAV,0.0000
4.2.1,3,deepectransformer-regular,0.3333
4.2.1,3,deepectransformer-learnt,0.6667
4.2.1,3,ecrecer,0.0000
4.2.1,3,clean-supcon,1.0000
4.2.1,3,enzbert-regular,1.0000
4.2.1,3,enzbert-learnt,1.0000
4.2.1,3,proteinbert-regular,0.6667
4.2.1,3,proteinbert-learnt,0.6667
4.2.1,3,stacked,0.6667
4.2.1,3,majority-voting-regular,1.0000
4.2.1,3,majority-voting-learnt,1.0000
4.2.1,3,species,0.0000
4.2.2,3,CAV,1.0000
4.2.2,3,deepectransformer-regular,0.3333
4.2.2,3,deepectransformer-learnt,0.3333
4.2.2,3,ecrecer,0.0000
4.2.2,3,clean-supcon,0.0000
4.2.2,3,enzbert-regular,0.0000
4.2.2,3,enzbert-learnt,0.0000
4.2.2,3,proteinbert-regular,0.3333
4.2.2,3,proteinbert-learnt,0.3333
4.2.2,3,stacked,1.0000
