gene,gene_name,log2fc,cav_r,pair
ENSG00000133639,BTG1,0.2356614931981002,0.1096698963367352,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000100316,RPL3,0.2353591530701269,0.0357512351201734,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000139644,TMBIM6,-0.234834898200955,-0.0754124354075067,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000118181,RPS25,0.2318626938406544,0.0641184742546151,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000131981,LGALS3,-0.2316972658578247,-0.1082392659369419,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000204472,AIF1,-0.2281703689452293,-0.091199116403537,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000198899,MT-ATP6,0.2275566152388923,0.0261929432671859,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000120708,TGFBI,-0.2273180940919651,-0.0408813689779641,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000160213,CSTB,-0.2269316946187119,-0.0849012702317313,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000106211,HSPB1,-0.2264571427408054,-0.1565175380318368,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000051523,CYBA,-0.2260677947741438,0.0038850015665427,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000233041,PHGR1,-0.2256172529317951,0.0858186307454124,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000167658,EEF2,0.221634057705154,-0.0399573903318865,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000171747,LGALS4,-0.2201829333690025,0.0965809796194237,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000175130,MARCKSL1,-0.2198853466999891,0.0280686084477133,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000234745,HLA-B,-0.2184430927786457,0.0927415612356132,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000102879,CORO1A,0.216417861786507,0.168938065700293,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000111775,COX6A1,-0.2163559115857185,-0.0263191685552617,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000128245,YWHAH,-0.2150595613487136,-0.115884418385597,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000160932,LY6E,-0.2145033448783602,-0.172775247925452,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000167553,TUBA1C,-0.2137794242788446,-0.0337816277119923,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000075415,SLC25A3,-0.2132781255950935,-0.0664161417567202,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000123416,TUBA1B,-0.2129476670507323,-0.0782762920198231,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000100650,SRSF5,0.2129372613544188,-0.0306424715500819,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000130592,LSP1,0.2125681843058526,0.1025227591262217,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000025708,TYMP,-0.2112195412238015,-0.1013505823642802,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000176340,COX8A,-0.2093019204646362,-0.0195115000061211,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000168028,RPSA,0.2080351522288023,0.083558353203769,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000011422,PLAUR,-0.2072948325961447,-0.1208399797223939,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000114391,RPL24,0.2061342941742797,-0.051440495754121,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000196683,TOMM7,0.2044326379767883,-0.0162926044333407,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000117091,CD48,0.2034924063848899,0.1275853188215613,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000166598,HSP90B1,-0.2034788453351968,-0.0942560950567151,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000156411,ATP5MJ,-0.2020643801934486,-0.0248911687223456,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000166794,PPIB,-0.2018240949821695,-0.0967434780840422,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000119888,EPCAM,-0.2006720776882161,0.0260216356328902,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000117472,TSPAN1,-0.2006577554220503,-0.0222863820209478,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000167286,CD3D,0.200035885998863,0.19610653542769,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000240972,MIF,-0.1998196931269664,-0.0988915410499119,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000104894,CD37,0.1994712076849372,0.1529007422106231,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000122406,RPL5,0.1993876816239582,0.0197380463407815,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000119705,SLIRP,-0.1986578070517944,-0.0302890348799203,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000114942,EEF1B2,0.1983061176043144,-0.041786449164461,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000169692,AGPAT2,-0.1967715593353902,-0.0724274304542862,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000244734,HBB,-0.1959742546485709,-0.1920292174889942,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000128340,RAC2,0.1956489900931584,0.1377103246438146,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000134871,COL4A2,-0.1954434072178255,-0.0081980187244431,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000150991,UBC,0.1952306311442242,-0.0079489125166059,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000265681,RPL17,0.1950446942894599,0.0388709304575605,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000108518,PFN1,-0.19469248896688,-0.0130026395536163,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000148834,GSTO1,-0.1944651799777919,-0.0791879315375983,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000267059,ENSG00000267059,-0.1940092580540448,0.0223404051455614,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000171223,JUNB,0.193443708465664,-0.0660787767668319,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000118785,SPP1,-0.1927110362294417,-0.0432561551337986,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000173372,C1QA,-0.1925123033181369,-0.0421125703551003,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000196405,EVL,0.1923116358724599,0.1123254900866441,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000162244,RPL29,0.1922673053431204,0.0394275671125975,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000188643,S100A16,-0.1908744820005722,-0.0659956234701663,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000133106,EPSTI1,-0.1908178814825235,-0.0369497227831558,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000188612,SUMO2,-0.1901261858880378,-0.0398473600751679,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000198242,RPL23A,0.1900410491662913,0.0714334255412893,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000135940,COX5B,-0.189191153201795,-0.0611257165902593,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000135047,CTSL,-0.1884779840739583,-0.1402363503149961,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000080824,HSP90AA1,-0.1864348493923995,-0.0726463049070111,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000074800,ENO1,-0.1845946762252518,-0.0343017591307791,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000081237,PTPRC,0.1844311797416761,0.1178765672876692,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000088832,FKBP1A,-0.18429120161235,-0.0544300674626338,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000167779,IGFBP6,0.1842610697732031,-0.2980220673701296,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000117410,ATP6V0B,-0.1841778291923889,-0.089223308931462,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000105369,CD79A,0.1841681701261404,0.147761487842134,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000211896,IGHG1,0.1838687783216803,0.0717249710132693,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000108848,LUC7L3,0.1830305854101308,-0.0347279666054997,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000166295,ANAPC16,0.1828871835891077,0.0388561909087486,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000117984,CTSD,-0.1820344299777241,-0.1100974932558948,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000131469,RPL27,0.1816403629795305,0.0970560905248695,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000185862,EVI2B,0.1815799686030778,0.1374864479672523,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000100097,LGALS1,-0.1807640490674299,-0.2126240419854176,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000151366,NDUFC2,-0.180663915260786,-0.0926818522443705,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000125148,MT2A,-0.1801606117695748,-0.1472188583001643,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000140264,SERF2,-0.1790871801630483,-0.1350099633380158,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000163586,FABP1,0.1790420326276042,0.1117778298860682,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000156482,RPL30,0.1777178107977249,0.0349978801040024,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000102144,PGK1,-0.1772094654832335,-0.004689052257227,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000204525,HLA-C,0.1770954863533451,0.0995302588842883,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000104763,ASAH1,-0.1766859937205651,-0.1257345359351352,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000178719,GRINA,-0.1765721273290655,-0.1479633567465643,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000206503,HLA-A,-0.1746654214746845,0.048602593486511,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000129226,CD68,-0.1744517912409422,-0.1338866640654148,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000177700,POLR2L,-0.1739946466216958,-0.0661282930695837,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000130203,APOE,-0.1738928861096008,-0.0089385037243066,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000113140,SPARC,-0.1735340090222887,-0.1404810327589762,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000085871,MGST2,-0.1731305587144855,-0.0236469983243533,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000109321,AREG,-0.1731157341335888,-0.0714838016790391,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000063046,EIF4B,0.1717872281951377,0.0236669983735829,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000189334,S100A14,-0.171781827658275,0.0587138406508551,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000030582,GRN,-0.1709898046699423,-0.1645865184943049,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000120885,CLU,0.170797217232848,-0.2315086844810454,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000141552,ANAPC11,-0.1706878139229917,-0.0567744132182491,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000187498,COL4A1,-0.170537990508933,-0.0158612979648218,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000172757,CFL1,-0.1703356604616496,0.019062939901857,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000042753,AP2S1,-0.1702937454349402,-0.0651331491744737,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000213585,VDAC1,-0.1695560048501112,-0.0613570537059614,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000176153,GPX2,-0.169389361624448,0.0415534991030386,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000169908,TM4SF1,-0.1693503952816381,-0.0007114580508951,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000147872,PLIN2,-0.1690976847825021,-0.1521565730771842,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000211890,IGHA2,0.1682440509906764,0.1006326608165083,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000089327,FXYD5,-0.1678110607558055,0.0134456348705979,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000198856,OSTC,-0.1676163325364878,-0.1348172745869208,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000110696,C11orf58,0.1675735327864863,-0.0088998400612137,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000185624,P4HB,-0.1667034058924179,-0.1155791820918045,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000116824,CD2,0.1659340219902421,0.1724550973820386,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000177954,RPS27,0.1657701666103031,0.04757977900542,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000099624,ATP5F1D,-0.165089317837622,-0.0154830051821165,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000182117,NOP10,-0.1648518308616464,-0.0121113592711906,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000112378,PERP,-0.1647012406677354,-0.0486663242072302,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000166920,C15orf48,-0.1645193852940504,-0.0018288092239283,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000182899,RPL35A,0.1644023468017045,0.0275238226089667,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000112695,COX7A2,-0.1643385081592196,0.0001341940128434,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000110848,CD69,0.1641666644123719,0.1705782449266983,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000187193,MT1X,-0.1641145891595863,-0.0996876722836527,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000167460,TPM4,-0.1640861586374556,-0.106486191746757,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000221869,CEBPD,0.1637717196733612,-0.0664938647562545,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000008952,SEC62,0.1634639708108038,-0.0570997632585027,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000129538,RNASE1,-0.1631319687743967,-0.0019603368232387,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000117450,PRDX1,-0.1623600949990255,-0.0386657385816171,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000173369,C1QB,-0.1622318994060764,-0.03082963616434,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000174021,GNG5,-0.1616260008857639,-0.0493383528903225,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000108107,RPL28,-0.159932052438875,0.0391387505358058,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000151461,UPF2,0.1598654548477677,0.0264117102001118,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000170345,FOS,0.1588906220947072,-0.0552124041294364,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000211899,IGHM,0.1588391426196531,0.0978382939737292,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000164111,ANXA5,-0.1588310839676761,-0.1675539150532582,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000010438,PRSS3,-0.1586731746569849,-0.0119263999749443,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000042493,CAPG,-0.1586400062557184,-0.0741245812417311,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000121966,CXCR4,0.1585653898578664,0.2054358866111341,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000102804,TSC22D1,-0.1571916660990519,-0.1115713678140634,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000164104,HMGB2,0.1571554472292349,0.0927454491432348,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000161921,CXCL16,-0.1569663135256209,-0.11878799237293,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000120675,DNAJC15,-0.1567272349279116,-0.004035566866893,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000069849,ATP1B3,-0.1557575240480703,-0.0793363537828317,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000044115,CTNNA1,-0.1555246496499225,-0.0536720445985366,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000019582,CD74,0.1553959456005251,0.0223111520926908,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000142192,APP,-0.1553228337352965,-0.1583293353455987,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000170043,TRAPPC1,-0.1551603046579806,-0.0196242390949859,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000072818,ACAP1,0.1550573373388985,0.1932107934832206,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000169223,LMAN2,-0.1546043304499111,-0.0548909306344791,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000168255,POLR2J3,0.1544953677015828,0.0504348416528234,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000174444,RPL4,0.1544349315379904,0.0276784814484725,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000148303,RPL7A,0.1520286811923575,0.0022217060741962,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000161011,SQSTM1,-0.1517550487723238,-0.1544405345879523,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000143977,SNRPG,-0.1510114418509373,-0.0256130425017726,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000189159,JPT1,-0.1498151900102367,0.0387198445359019,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000124172,ATP5F1E,-0.1495146099332011,0.0823793005556993,fibroblast__colorectum__normal_vs_colorectal_cancer
ENSG00000173762,CD7,0.1494897671329002,0.1399402696521861,fibroblast__colorectum__normal_vs_colorectal_cancer
