pair,gene,gene_name,log2fc,cav_r
neutrophil__breast__normal_vs_breast_cancer,ENSG00000108654,DDX5,0.8864536057871347,0.1815319743766043
neutrophil__breast__normal_vs_breast_cancer,ENSG00000127951,FGL2,0.88223444082288,0.4239007595212383
neutrophil__breast__normal_vs_breast_cancer,ENSG00000169442,CD52,-0.8793276630912686,-0.089684607558548
neutrophil__breast__normal_vs_breast_cancer,ENSG00000163220,S100A9,0.8781780866589147,0.2437155511991964
neutrophil__breast__normal_vs_breast_cancer,ENSG00000197728,RPS26,0.8729034158124047,0.101905340282612
neutrophil__breast__normal_vs_breast_cancer,ENSG00000162511,LAPTM5,0.8551136937597825,0.3037271048124361
neutrophil__breast__normal_vs_breast_cancer,ENSG00000013725,CD6,-0.8532159617568458,-0.1816915407153302
neutrophil__breast__normal_vs_breast_cancer,ENSG00000196683,TOMM7,-0.8523333100512832,-0.1799126708573407
neutrophil__breast__normal_vs_breast_cancer,ENSG00000065978,YBX1,0.8469572501604491,0.3408936246707891
neutrophil__breast__normal_vs_breast_cancer,ENSG00000128340,RAC2,-0.8427441993668514,-0.1540660458975754
neutrophil__breast__normal_vs_breast_cancer,ENSG00000197629,MPEG1,0.8411070039237836,0.4378335118043017
neutrophil__breast__normal_vs_breast_cancer,ENSG00000175899,A2M,0.8377964634804279,0.4767660897169665
neutrophil__breast__normal_vs_breast_cancer,ENSG00000180644,PRF1,-0.8373109630910105,-0.090704957686179
neutrophil__breast__normal_vs_breast_cancer,ENSG00000104763,ASAH1,0.8370075116998738,0.4250365655707075
neutrophil__breast__normal_vs_breast_cancer,ENSG00000131238,PPT1,0.8301103005190028,0.2745262964587526
neutrophil__breast__normal_vs_breast_cancer,ENSG00000198502,HLA-DRB5,0.8232293540866931,0.4409482588090947
neutrophil__breast__normal_vs_breast_cancer,ENSG00000155659,VSIG4,0.8207483648784428,0.4747666162144082
neutrophil__breast__normal_vs_breast_cancer,ENSG00000160888,IER2,0.8203501295307687,0.2891264190123592
neutrophil__breast__normal_vs_breast_cancer,ENSG00000110651,CD81,0.8199148072025837,0.3361293772518122
neutrophil__breast__normal_vs_breast_cancer,ENSG00000100300,TSPO,0.8186263311224562,0.2799076894092957
neutrophil__breast__normal_vs_breast_cancer,ENSG00000167286,CD3D,-0.817763939660584,-0.1742676646531483
neutrophil__breast__normal_vs_breast_cancer,ENSG00000095970,TREM2,0.8084338146149076,0.4839078982232787
neutrophil__breast__normal_vs_breast_cancer,ENSG00000149273,RPS3,-0.8083333848514885,-0.3111784206052104
neutrophil__breast__normal_vs_breast_cancer,ENSG00000025708,TYMP,0.8065760152932191,0.3194971362867078
neutrophil__breast__normal_vs_breast_cancer,ENSG00000104904,OAZ1,0.8018647431524901,0.4226824832417879
