pair,gene,gene_name,r,rank,l2_score,expr_scaled
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,4.6008,0.33228984
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,4.1052,0.37583032
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,7.096,0.5731746
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,6.7003,0.7139826
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,6.1747,0.77055764
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,4.6696,0.68417966
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,6.5089,0.5235591
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,5.9781,0.8646634
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,5.2811,0.6526
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,4.6292,0.7514548
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,5.1281,0.7069018
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,3.232,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,2.5187,0.43159738
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,2.3976,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,3.311,0.6311702
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,2.963,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,0.2833,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,3.0119,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,1.6696,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,3.8977,0.48694977
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,3.4771,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,2.7008,0.6366288
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,3.3203,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,2.7942,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,1.6669,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,4.2229,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,4.2542,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,2.6016,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,2.0049,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,1.9728,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,2.1891,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,2.3866,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,2.6698,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,2.358,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,3.1683,0.4741701
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,2.4858,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,2.1256,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,3.0565,0.34093913
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,2.451,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,4.5901,0.24062766
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,3.2478,0.37368295
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,2.3259,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,2.5955,0.0
neutrophil__breast__normal_vs_breast_cancer,ENSG00000204287,HLA-DRA,0.766139174253121,0,3.439,0.0
