pair,level,gene,gene_name,log2fc,cav_r
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000065978,YBX1,0.8469572501604491,0.05593094844123184
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000128340,RAC2,-0.8427441993668514,0.056845086658019794
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000197629,MPEG1,0.8411070039237836,0.028998282329257264
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000175899,A2M,0.8377964634804279,0.0923448923392846
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000180644,PRF1,-0.8373109630910105,0.09887530073718569
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000104763,ASAH1,0.8370075116998738,0.04448133995839095
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000131238,PPT1,0.8301103005190028,-0.061019747231551714
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000198502,HLA-DRB5,0.8232293540866931,0.023506665736919685
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000155659,VSIG4,0.8207483648784428,-0.0037317886396470187
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000160888,IER2,0.8203501295307687,0.0365412472789236
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000110651,CD81,0.8199148072025837,0.0965049260371098
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000100300,TSPO,0.8186263311224562,0.07046581323360239
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000167286,CD3D,-0.817763939660584,0.11771975262543018
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000095970,TREM2,0.8084338146149076,0.08634774289091537
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000149273,RPS3,-0.8083333848514885,-0.10252416999614239
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000025708,TYMP,0.8065760152932191,0.0011244918742199536
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000104904,OAZ1,0.8018647431524901,0.1529511915543138
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000188846,RPL14,-0.7894073667809699,0.0974604840136653
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000118503,TNFAIP3,-0.7863196095506886,0.06849300552774079
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000085265,FCN1,0.7861803077170231,0.018608143417751452
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000111796,KLRB1,-0.7810112368619067,-0.02786892776614677
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000100242,SUN2,-0.7804756583477723,0.006922839799355746
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000101336,HCK,0.7772993497244827,0.14337892030236143
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000254087,LYN,0.7767685068778629,0.13274565381347916
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000042493,CAPG,0.7759102986777087,0.045452255047517084
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000111229,ARPC3,0.7721894696103278,0.15057756122493657
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000166927,MS4A7,0.7713012289173152,0.07005342845349977
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000188042,ARL4C,-0.7669535598765418,0.03561511446924002
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000136826,KLF4,0.7653961512840806,-0.028829067677711092
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000104870,FCGRT,0.7648183063646685,0.022334432703305467
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000177606,JUN,0.7620791990434843,0.0015754725046972149
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000211751,TRBC1,-0.7619806647312223,-0.042707555975127695
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000035862,TIMP2,0.7613544020466594,0.08630594585279308
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000010278,CD9,0.7609714480583235,0.027206915062425875
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000178719,GRINA,0.7577955831686591,0.09934631533123207
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000140678,ITGAX,0.7577378407212515,0.11685177794631971
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000128524,ATP6V1F,0.7446145908669706,0.07523122555025288
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000204482,LST1,0.7366504534699193,0.07053976649763323
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000100316,RPL3,-0.7320143175203182,-0.13221745431213913
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000116824,CD2,-0.7306197581068458,0.10450240487144848
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000173812,EIF1,0.7275644980355818,0.12680851805537652
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000136235,GPNMB,0.7275064929494234,0.012993372697902888
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000167552,TUBA1A,0.72503592910481,0.04924737057478186
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000130208,APOC1,0.7223891259461646,0.06496484475130371
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000185262,UBALD2,-0.7213502825835936,0.034285977224024176
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000078369,GNB1,0.7211201784360572,0.10747520752224893
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000106066,CPVL,0.7199825465562641,0.016582771534764954
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000168961,LGALS9,0.7166482084664969,0.04906296893663676
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000148180,GSN,0.7155066593579954,0.016212231405860807
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000152291,TGOLN2,0.71443075428102,0.11452354777827752
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000026297,RNASET2,0.7079337787769472,0.10745244935220707
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000117410,ATP6V0B,0.705147948480753,0.07190130797836633
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000051523,CYBA,0.7047012534383248,0.1067445501866268
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000159189,C1QC,0.7038605008958022,0.06817899600685849
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000116741,RGS2,0.7003291322773758,0.0974491438009294
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000161921,CXCL16,0.6993933505923575,0.07136270490708085
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000011422,PLAUR,0.6959800341658465,0.018718841560809506
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000204628,RACK1,0.6951937622195888,0.06060687608135529
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000107742,SPOCK2,-0.6937409653767709,-0.033373758939572874
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000187764,SEMA4D,-0.6936769724089438,0.08387325136954829
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000143110,C1orf162,0.687858934458316,0.007989487127295998
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000197405,C5AR1,0.6840248947877924,0.04010277337419187
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000120738,EGR1,0.6833209413651904,0.014566889406934258
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000162734,PEA15,0.6818575290258173,0.038413003169475365
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000196735,HLA-DQA1,0.6803305991355192,0.08046210020848824
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000197249,SERPINA1,0.6754609890211771,0.02679311033921922
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000171051,FPR1,0.6742581795336802,0.005800312922187999
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000125148,MT2A,0.6710629749590517,0.055880033283502224
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000183255,PTTG1IP,0.6698390396457394,0.022590117616971585
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000198712,MT-CO2,0.6689279440963689,0.12663995845627382
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000130775,THEMIS2,0.6685765672295824,0.06950959236587852
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000204252,HLA-DOA,0.6685298895713163,0.0904839843115845
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000141480,ARRB2,0.6628342691128265,0.06553171408084911
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000105374,NKG7,-0.6600877060296219,0.06771521282633414
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000163346,PBXIP1,-0.6582514231968775,0.012949241972549076
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000118855,MFSD1,0.6580678790374298,0.03400695082705916
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000185896,LAMP1,0.6572803576236281,0.031274373371480285
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000091317,CMTM6,0.6555400453085897,0.0005095134812308238
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000111276,CDKN1B,-0.6515684311654427,0.09991359633050746
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000110446,SLC15A3,0.649770771912993,0.06661399196236008
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000135486,HNRNPA1,-0.6477887299463874,0.059769746227596406
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000081059,TCF7,-0.6474324636893088,-0.0465034763854426
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000114353,GNAI2,0.6473810111257746,0.05716129659662926
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000178695,KCTD12,0.6472499356816775,0.06730442844171905
neutrophil__breast__normal_vs_breast_cancer,raw,ENSG00000125740,FOSB,0.6407827278112301,0.05643108417779824
